id,age,agemonths,sex,trialtype,z.age,trialtype.sticker.c,correct
14,5,62.86842105,1,sticker,0.9762855540045376,0.5,1
15,4,55,1,sticker,0.11037467665379137,0.5,1
16,4,55.70394737,2,pen,0.18784329213484163,-0.5,1
17,5,63.34210526,2,sticker,1.028413967985166,0.5,1
18,3,43.47368421,1,pen,-1.1580833983421643,-0.5,1
19,3,45.17763158,1,sticker,-0.9705659087797319,0.5,0
21,5,61.73684211,1,pen,0.8517565657233334,-0.5,1
22,5,66.375,2,pen,1.3621806193295123,-0.5,1
25,4,51.03289474,1,pen,-0.3262007905715367,-0.5,0
26,4,57.23026316,2,pen,0.35581262631697663,-0.5,1
29,5,63.83552632,2,pen,1.0827144000862083,-0.5,1
32,5,62.67105263,2,sticker,0.9545653816043159,0.5,1
33,4,55.40789474,1,pen,0.1552630335345098,-0.5,1
34,4,52.86842105,2,pen,-0.12420318680928301,-0.5,1
35,4,51.29605263,1,sticker,-0.29724056107140506,0.5,1
36,3,46.03289474,2,sticker,-0.876445160978447,0.5,0
38,4,54.47368421,2,pen,0.052454216553038446,-0.5,1
39,5,68.60526316,1,sticker,1.6076185689926985,0.5,1
40,4,50.80263158,1,sticker,-0.3515409920719578,0.5,0
41,5,62.29605263,2,pen,0.9132970538237977,-0.5,1
42,3,38.96710526,1,pen,-1.654027337748522,-0.5,0
43,4,56.63815789,1,pen,0.29065210801582414,-0.5,0
45,4,49.53947368,2,sticker,-0.49055009675396116,0.5,1
46,3,39.19736842,1,sticker,-1.6286871362481008,0.5,0
48,4,54.70394737,1,pen,0.07779441805345956,-0.5,1
49,4,48.67105263,1,sticker,-0.586118855535033,0.5,1
53,5,68.76973684,2,sticker,1.6257187122927184,0.5,1
54,3,36.46052632,1,pen,-1.9298735278916257,-0.5,1
55,4,57.39473684,2,sticker,0.3739127696169982,0.5,1
56,3,47.39473684,2,pen,-0.7265759711968225,-0.5,0
57,5,63.46052632,1,pen,1.0414460723056902,-0.5,1
58,4,48.36184211,1,pen,-0.6201471251151518,-0.5,1
59,4,57.49342105,2,sticker,0.38477285581710907,0.5,1
60,4,53.06578947,1,sticker,-0.10248301440906206,0.5,0
62,3,37.32894737,1,pen,-1.8343047691105538,-0.5,1
63,4,51.93421053,1,sticker,-0.22701200269026553,0.5,1
64,5,61,2,pen,0.7706679211420838,-0.5,0
65,5,67.2,2,sticker,1.4529709404466529,0.5,1
66,5,66.42763158,2,pen,1.3679726654496362,-0.5,0
67,3,46.60526316,2,pen,-0.8134566607977078,-0.5,0
69,4,53.60526316,1,sticker,-0.043114542228033376,0.5,1
70,3,40.55921053,2,pen,-1.4788179453659867,-0.5,1
72,4,56.03289474,2,pen,0.2240435798353736,-0.5,1
73,4,55.26315789,1,pen,0.1393349061539238,-0.5,0
75,3,37.32894737,2,sticker,-1.8343047691105538,0.5,0
76,3,39.73684211,1,sticker,-1.569318664067072,0.5,0
77,3,38.80263158,1,sticker,-1.6721274810485427,0.5,0
78,4,49.59210526,1,pen,-0.4847580506338374,-0.5,0
80,4,58.65789474,1,pen,0.5129218742990015,-0.5,1
82,4,59.11184211,1,pen,0.5628782712597055,-0.5,1
83,4,54.96710526,2,sticker,0.10675464755359121,0.5,0
84,4,50.30921053,2,sticker,-0.4058414230725114,0.5,1
85,5,67.67105263,1,sticker,1.5048097520112271,0.5,1
87,4,52.83552632,2,pen,-0.12782321480899433,-0.5,1
88,5,63.14473684,1,pen,1.006693795584945,-0.5,1
89,4,53.90131579,2,sticker,-0.010534283627701563,0.5,0
90,3,40.86842105,2,sticker,-1.4447896757858678,0.5,1
91,5,64.96710526,2,sticker,1.2072433883674119,0.5,1
92,5,60.53947368,1,pen,0.7199875181412415,-0.5,1
94,4,51.80263158,2,pen,-0.2414921179905758,-0.5,0
96,3,36.60526316,1,sticker,-1.9139454016115285,0.5,1
97,5,71.26315789,1,sticker,1.900116891456037,0.5,1
98,3,45.76973684,2,sticker,-0.9054053915790683,0.5,1
100,5,60.40789474,2,sticker,0.7055074039414201,0.5,1
103,4,55.67105263,2,sticker,0.18422326303464145,0.5,1
105,5,65,1,sticker,1.210863417467612,0.5,1
106,5,61.09868421,1,pen,0.7815280073421946,-0.5,1
107,3,45.44078947,1,pen,-0.9416056792796003,-0.5,0
