id,agemonths,ageyears,age,sex,order,boxtype,order3,trialno,side,response,correct,passedpretest
14,62.86842105,5.239035088,5,f,penfirst,blue-right,pretest,1,L,L,1,yes
14,62.86842105,5.239035088,5,f,penfirst,blue-right,pretest,2,R,R,1,yes
15,55,4.583333333,4,f,penfirst,blue-right,pretest,1,L,L,1,yes
15,55,4.583333333,4,f,penfirst,blue-right,pretest,2,R,R,1,yes
16,55.70394737,4.641995614,4,m,stickerfirst,blue-right,pretest,1,L,L,1,yes
16,55.70394737,4.641995614,4,m,stickerfirst,blue-right,pretest,2,R,R,1,yes
17,63.34210526,5.278508772,5,m,penfirst,blue-right,pretest,1,L,L,1,yes
17,63.34210526,5.278508772,5,m,penfirst,blue-right,pretest,2,R,R,1,yes
18,43.47368421,3.622807018,3,f,stickerfirst,blue-right,pretest,1,L,L,1,yes
18,43.47368421,3.622807018,3,f,stickerfirst,blue-right,pretest,2,R,R,1,yes
19,45.17763158,3.764802632,3,f,penfirst,blue-right,pretest,1,L,L,1,yes
19,45.17763158,3.764802632,3,f,penfirst,blue-right,pretest,2,R,R,1,yes
21,61.73684211,5.144736842,5,f,stickerfirst,blue-right,pretest,1,L,L,1,yes
21,61.73684211,5.144736842,5,f,stickerfirst,blue-right,pretest,2,R,R,1,yes
22,66.375,5.53125,5,m,stickerfirst,blue-right,pretest,1,L,L,1,yes
22,66.375,5.53125,5,m,stickerfirst,blue-right,pretest,2,R,R,1,yes
25,51.03289474,4.252741228,4,f,stickerfirst,blue-right,pretest,1,L,L,1,yes
25,51.03289474,4.252741228,4,f,stickerfirst,blue-right,pretest,2,R,R,1,yes
26,57.23026316,4.769188596,4,m,stickerfirst,blue-right,pretest,1,L,L,1,yes
26,57.23026316,4.769188596,4,m,stickerfirst,blue-right,pretest,2,R,R,1,yes
29,63.83552632,5.319627193,5,m,stickerfirst,blue-right,pretest,1,L,L,1,yes
29,63.83552632,5.319627193,5,m,stickerfirst,blue-right,pretest,2,R,R,1,yes
32,62.67105263,5.222587719,5,m,penfirst,pink-right,pretest,1,L,L,1,yes
32,62.67105263,5.222587719,5,m,penfirst,pink-right,pretest,2,R,R,1,yes
33,55.40789474,4.617324561,4,f,stickerfirst,pink-right,pretest,1,L,R,0,yes
33,55.40789474,4.617324561,4,f,stickerfirst,pink-right,pretest,2,R,R,1,yes
33,55.40789474,4.617324561,4,f,stickerfirst,pink-right,pretest,3,L,L,1,yes
33,55.40789474,4.617324561,4,f,stickerfirst,pink-right,pretest,4,R,R,1,yes
33,55.40789474,4.617324561,4,f,stickerfirst,pink-right,pretest,5,R,R,1,yes
34,52.86842105,4.405701754,4,m,stickerfirst,pink-right,pretest,1,L,L,1,yes
34,52.86842105,4.405701754,4,m,stickerfirst,pink-right,pretest,2,R,R,1,yes
35,51.29605263,4.274671053,4,f,penfirst,pink-right,pretest,1,L,L,1,yes
35,51.29605263,4.274671053,4,f,penfirst,pink-right,pretest,2,R,R,1,yes
36,46.03289474,3.836074561,3,m,penfirst,pink-right,pretest,1,L,L,1,yes
36,46.03289474,3.836074561,3,m,penfirst,pink-right,pretest,2,R,R,1,yes
38,54.47368421,4.539473684,4,m,stickerfirst,pink-right,pretest,1,L,L,1,yes
38,54.47368421,4.539473684,4,m,stickerfirst,pink-right,pretest,2,R,R,1,yes
39,68.60526316,5.717105263,5,f,penfirst,pink-right,pretest,1,L,L,1,yes
39,68.60526316,5.717105263,5,f,penfirst,pink-right,pretest,2,R,R,1,yes
40,50.80263158,4.233552632,4,f,penfirst,blue-right,pretest,1,L,L,1,yes
40,50.80263158,4.233552632,4,f,penfirst,blue-right,pretest,2,R,R,1,yes
41,62.29605263,5.191337719,5,m,stickerfirst,blue-right,pretest,1,L,L,1,yes
41,62.29605263,5.191337719,5,m,stickerfirst,blue-right,pretest,2,R,R,1,yes
42,38.96710526,3.247258772,3,f,stickerfirst,pink-right,pretest,1,L,L,1,yes
42,38.96710526,3.247258772,3,f,stickerfirst,pink-right,pretest,2,R,R,1,yes
43,56.63815789,4.719846491,4,f,stickerfirst,pink-right,pretest,1,L,L,1,yes
43,56.63815789,4.719846491,4,f,stickerfirst,pink-right,pretest,2,R,R,1,yes
45,49.53947368,4.128289474,4,m,penfirst,pink-right,pretest,1,L,L,1,yes
45,49.53947368,4.128289474,4,m,penfirst,pink-right,pretest,2,R,R,1,yes
46,39.19736842,3.266447368,3,f,penfirst,pink-right,pretest,1,L,L,1,yes
46,39.19736842,3.266447368,3,f,penfirst,pink-right,pretest,2,R,R,1,yes
48,54.70394737,4.558662281,4,f,stickerfirst,pink-right,pretest,1,L,L,1,yes
48,54.70394737,4.558662281,4,f,stickerfirst,pink-right,pretest,2,R,R,1,yes
49,48.67105263,4.055921053,4,f,penfirst,pink-right,pretest,1,L,L,1,yes
49,48.67105263,4.055921053,4,f,penfirst,pink-right,pretest,2,R,R,1,yes
53,68.76973684,5.730811404,5,m,penfirst,pink-right,pretest,1,L,L,1,yes
53,68.76973684,5.730811404,5,m,penfirst,pink-right,pretest,2,R,R,1,yes
54,36.46052632,3.038377193,3,f,stickerfirst,blue-right,pretest,1,L,L,1,yes
54,36.46052632,3.038377193,3,f,stickerfirst,blue-right,pretest,2,R,R,1,yes
55,57.39473684,4.782894737,4,m,penfirst,blue-right,pretest,1,L,L,1,yes
55,57.39473684,4.782894737,4,m,penfirst,blue-right,pretest,2,R,R,1,yes
56,47.39473684,3.949561404,3,m,stickerfirst,pink-right,pretest,1,L,L,1,yes
56,47.39473684,3.949561404,3,m,stickerfirst,pink-right,pretest,2,R,R,1,yes
57,63.46052632,5.288377193,5,f,stickerfirst,pink-right,pretest,1,L,L,1,yes
57,63.46052632,5.288377193,5,f,stickerfirst,pink-right,pretest,2,R,R,1,yes
58,48.36184211,4.030153509,4,f,stickerfirst,blue-right,pretest,1,L,L,1,yes
58,48.36184211,4.030153509,4,f,stickerfirst,blue-right,pretest,2,R,R,1,yes
59,57.49342105,4.791118421,4,m,penfirst,blue-right,pretest,1,L,L,1,yes
59,57.49342105,4.791118421,4,m,penfirst,blue-right,pretest,2,R,R,1,yes
60,53.06578947,4.422149123,4,f,penfirst,blue-right,pretest,1,L,L,1,yes
60,53.06578947,4.422149123,4,f,penfirst,blue-right,pretest,2,R,R,1,yes
62,37.32894737,3.110745614,3,f,stickerfirst,blue-right,pretest,1,L,L,1,yes
62,37.32894737,3.110745614,3,f,stickerfirst,blue-right,pretest,2,R,R,1,yes
63,51.93421053,4.327850877,4,f,penfirst,pink-right,pretest,1,L,L,1,yes
63,51.93421053,4.327850877,4,f,penfirst,pink-right,pretest,2,R,R,1,yes
64,61,5.083333333,5,m,stickerfirst,blue-right,pretest,1,L,L,1,yes
64,61,5.083333333,5,m,stickerfirst,blue-right,pretest,2,R,R,1,yes
65,67.2,5,5,m,penfirst,blue-right,pretest,1,L,L,1,yes
65,67.2,5,5,m,penfirst,blue-right,pretest,2,R,R,1,yes
66,66.42763158,5.535635965,5,m,stickerfirst,pink-right,pretest,1,L,L,1,yes
66,66.42763158,5.535635965,5,m,stickerfirst,pink-right,pretest,2,R,R,1,yes
67,46.60526316,3.88377193,3,m,stickerfirst,pink-right,pretest,1,L,L,1,yes
67,46.60526316,3.88377193,3,m,stickerfirst,pink-right,pretest,2,R,R,1,yes
69,53.60526316,4.467105263,4,f,penfirst,pink-right,pretest,1,L,L,1,yes
69,53.60526316,4.467105263,4,f,penfirst,pink-right,pretest,2,R,R,1,yes
70,40.55921053,3.379934211,3,m,stickerfirst,pink-right,pretest,1,L,L,1,yes
70,40.55921053,3.379934211,3,m,stickerfirst,pink-right,pretest,2,R,R,1,yes
72,56.03289474,4.669407895,4,m,stickerfirst,pink-right,pretest,1,L,L,1,yes
72,56.03289474,4.669407895,4,m,stickerfirst,pink-right,pretest,2,R,L,0,yes
72,56.03289474,4.669407895,4,m,stickerfirst,pink-right,pretest,3,L,L,1,yes
72,56.03289474,4.669407895,4,m,stickerfirst,pink-right,pretest,4,R,R,1,yes
72,56.03289474,4.669407895,4,m,stickerfirst,pink-right,pretest,5,L,L,1,yes
73,55.26315789,4.605263158,4,f,stickerfirst,pink-right,pretest,1,L,L,1,yes
73,55.26315789,4.605263158,4,f,stickerfirst,pink-right,pretest,2,R,R,1,yes
75,37.32894737,3.110745614,3,m,penfirst,blue-right,pretest,1,L,L,1,yes
75,37.32894737,3.110745614,3,m,penfirst,blue-right,pretest,2,R,R,1,yes
76,39.73684211,3.311403509,3,f,penfirst,pink-right,pretest,1,L,R,0,yes
76,39.73684211,3.311403509,3,f,penfirst,pink-right,pretest,2,R,R,1,yes
76,39.73684211,3.311403509,3,f,penfirst,pink-right,pretest,3,R,R,1,yes
76,39.73684211,3.311403509,3,f,penfirst,pink-right,pretest,4,L,L,1,yes
76,39.73684211,3.311403509,3,f,penfirst,pink-right,pretest,5,R,R,1,yes
77,38.80263158,3.233552632,3,f,penfirst,blue-right,pretest,1,L,L,1,yes
77,38.80263158,3.233552632,3,f,penfirst,blue-right,pretest,2,R,R,1,yes
78,49.59210526,4.132675439,4,f,stickerfirst,blue-right,pretest,1,L,L,1,yes
78,49.59210526,4.132675439,4,f,stickerfirst,blue-right,pretest,2,R,R,1,yes
