id,age,sex,order,boxtype,sessiontype,sessionno,trialno,correct,trialtype,phase
Reuben,8,m,foodfirst,blue,warmup,1,1,1,,
Reuben,8,m,foodfirst,blue,warmup,1,2,1,,
Reuben,8,m,foodfirst,blue,warmup,1,3,1,,
Reuben,8,m,foodfirst,blue,warmup,1,4,1,,
Reuben,8,m,foodfirst,blue,warmup,1,5,0,,
Reuben,8,m,foodfirst,blue,warmup,1,6,1,,
Reuben,8,m,foodfirst,blue,warmup,1,7,1,,
Reuben,8,m,foodfirst,blue,warmup,1,8,0,,
Reuben,8,m,foodfirst,blue,warmup,2,1,0,,
Reuben,8,m,foodfirst,blue,warmup,2,2,1,,
Reuben,8,m,foodfirst,blue,warmup,2,3,1,,
Reuben,8,m,foodfirst,blue,warmup,2,4,0,,
Reuben,8,m,foodfirst,blue,warmup,2,5,1,,
Reuben,8,m,foodfirst,blue,warmup,2,6,0,,
Reuben,8,m,foodfirst,blue,warmup,2,7,1,,
Reuben,8,m,foodfirst,blue,warmup,2,8,1,,
Reuben,8,m,foodfirst,blue,warmup,3,1,1,,
Reuben,8,m,foodfirst,blue,warmup,3,2,1,,
Reuben,8,m,foodfirst,blue,warmup,3,3,1,,
Reuben,8,m,foodfirst,blue,warmup,3,4,1,,
Reuben,8,m,foodfirst,blue,warmup,3,5,1,,
Reuben,8,m,foodfirst,blue,warmup,3,6,1,,
Reuben,8,m,foodfirst,blue,warmup,3,7,1,,
Reuben,8,m,foodfirst,blue,warmup,3,8,1,,
Reuben,8,m,foodfirst,blue,warmup,4,1,1,,
Reuben,8,m,foodfirst,blue,warmup,4,2,0,,
Reuben,8,m,foodfirst,blue,warmup,4,3,1,,
Reuben,8,m,foodfirst,blue,warmup,4,4,1,,
Reuben,8,m,foodfirst,blue,warmup,4,5,0,,
Reuben,8,m,foodfirst,blue,warmup,4,6,1,,
Reuben,8,m,foodfirst,blue,warmup,4,7,0,,
Reuben,8,m,foodfirst,blue,warmup,4,8,1,,
Reuben,8,m,foodfirst,blue,warmup,5,1,0,,
Reuben,8,m,foodfirst,blue,warmup,5,2,0,,
Reuben,8,m,foodfirst,blue,warmup,5,3,1,,
Reuben,8,m,foodfirst,blue,warmup,5,4,1,,
Reuben,8,m,foodfirst,blue,warmup,5,5,1,,
Reuben,8,m,foodfirst,blue,warmup,5,6,1,,
Reuben,8,m,foodfirst,blue,warmup,5,7,1,,
Reuben,8,m,foodfirst,blue,warmup,5,8,1,,
Reuben,8,m,foodfirst,blue,warmup,6,1,1,,
Reuben,8,m,foodfirst,blue,warmup,6,2,1,,
Reuben,8,m,foodfirst,blue,warmup,6,3,1,,
Reuben,8,m,foodfirst,blue,warmup,6,4,1,,
Reuben,8,m,foodfirst,blue,warmup,6,5,1,,
Reuben,8,m,foodfirst,blue,warmup,6,6,1,,
Reuben,8,m,foodfirst,blue,warmup,6,7,1,,
Reuben,8,m,foodfirst,blue,warmup,6,8,1,,
Reuben,8,m,foodfirst,blue,foil,1,1,1,,
Reuben,8,m,foodfirst,blue,foil,1,2,1,,
Reuben,8,m,foodfirst,blue,foil,1,3,1,,
Reuben,8,m,foodfirst,blue,foil,1,4,0,,
Reuben,8,m,foodfirst,blue,foil,1,5,1,,
Reuben,8,m,foodfirst,blue,foil,1,6,1,,
Reuben,8,m,foodfirst,blue,foil,1,7,1,,
Reuben,8,m,foodfirst,blue,foil,1,8,1,,
Reuben,8,m,foodfirst,blue,foil,2,1,1,,
Reuben,8,m,foodfirst,blue,foil,2,2,1,,
Reuben,8,m,foodfirst,blue,foil,2,3,0,,
Reuben,8,m,foodfirst,blue,foil,2,4,1,,
Reuben,8,m,foodfirst,blue,foil,2,5,0,,
Reuben,8,m,foodfirst,blue,foil,2,6,1,,
Reuben,8,m,foodfirst,blue,foil,2,7,1,,
Reuben,8,m,foodfirst,blue,foil,2,8,0,,
Reuben,8,m,foodfirst,blue,foil,3,1,1,,
Reuben,8,m,foodfirst,blue,foil,3,2,1,,
Reuben,8,m,foodfirst,blue,foil,3,3,1,,
Reuben,8,m,foodfirst,blue,foil,3,4,1,,
Reuben,8,m,foodfirst,blue,foil,3,5,1,,
Reuben,8,m,foodfirst,blue,foil,3,6,1,,
Reuben,8,m,foodfirst,blue,foil,3,7,1,,
Reuben,8,m,foodfirst,blue,foil,3,8,1,,
Reuben,8,m,foodfirst,blue,test,1,1,1,food,1
Reuben,8,m,foodfirst,blue,test,1,2,0,food,1
Reuben,8,m,foodfirst,blue,test,1,3,0,food,1
Reuben,8,m,foodfirst,blue,test,1,4,1,food,1
Reuben,8,m,foodfirst,blue,test,1,5,0,food,1
Reuben,8,m,foodfirst,blue,test,1,6,1,food,1
Reuben,8,m,foodfirst,blue,test,1,7,1,food,1
Reuben,8,m,foodfirst,blue,test,1,8,1,food,1
Reuben,8,m,foodfirst,blue,test,2,1,1,food,1
Reuben,8,m,foodfirst,blue,test,2,2,1,food,1
Reuben,8,m,foodfirst,blue,test,2,3,1,food,1
Reuben,8,m,foodfirst,blue,test,2,4,1,food,1
Reuben,8,m,foodfirst,blue,test,2,5,1,food,1
Reuben,8,m,foodfirst,blue,test,2,6,1,food,1
Reuben,8,m,foodfirst,blue,test,2,7,1,food,1
Reuben,8,m,foodfirst,blue,test,2,8,1,food,1
Reuben,8,m,foodfirst,blue,test,3,1,1,food,1
Reuben,8,m,foodfirst,blue,test,3,2,1,food,1
Reuben,8,m,foodfirst,blue,test,3,3,1,food,1
Reuben,8,m,foodfirst,blue,test,3,4,0,food,1
Reuben,8,m,foodfirst,blue,test,3,5,1,food,1
Reuben,8,m,foodfirst,blue,test,3,6,1,food,1
Reuben,8,m,foodfirst,blue,test,3,7,1,food,1
Reuben,8,m,foodfirst,blue,test,3,8,1,food,1
Reuben,8,m,foodfirst,blue,transfer,1,1,1,stick,2
Reuben,8,m,foodfirst,blue,transfer,1,2,0,stick,2
Reuben,8,m,foodfirst,blue,transfer,1,3,1,stick,2
Reuben,8,m,foodfirst,blue,transfer,1,4,1,stick,2
Reuben,8,m,foodfirst,blue,transfer,1,5,0,stick,2
Reuben,8,m,foodfirst,blue,transfer,1,6,1,stick,2
Reuben,8,m,foodfirst,blue,transfer,1,7,1,stick,2
Reuben,8,m,foodfirst,blue,transfer,1,8,1,stick,2
Reuben,8,m,foodfirst,blue,transfer,2,1,1,stick,2
Reuben,8,m,foodfirst,blue,transfer,2,2,1,stick,2
Reuben,8,m,foodfirst,blue,transfer,2,3,0,stick,2
Reuben,8,m,foodfirst,blue,transfer,2,4,0,stick,2
Reuben,8,m,foodfirst,blue,transfer,2,5,1,stick,2
Reuben,8,m,foodfirst,blue,transfer,2,6,1,stick,2
Reuben,8,m,foodfirst,blue,transfer,2,7,1,stick,2
Reuben,8,m,foodfirst,blue,transfer,2,8,1,stick,2
Kato,13,m,stickfirst,pink,warmup,1,1,1,,
Kato,13,m,stickfirst,pink,warmup,1,2,1,,
Kato,13,m,stickfirst,pink,warmup,1,3,1,,
Kato,13,m,stickfirst,pink,warmup,1,4,1,,
Kato,13,m,stickfirst,pink,warmup,1,5,0,,
Kato,13,m,stickfirst,pink,warmup,1,6,1,,
Kato,13,m,stickfirst,pink,warmup,1,7,1,,
Kato,13,m,stickfirst,pink,warmup,1,8,1,,
Kato,13,m,stickfirst,pink,warmup,2,1,0,,
Kato,13,m,stickfirst,pink,warmup,2,2,1,,
Kato,13,m,stickfirst,pink,warmup,2,3,1,,
Kato,13,m,stickfirst,pink,warmup,2,4,0,,
Kato,13,m,stickfirst,pink,warmup,2,5,1,,
Kato,13,m,stickfirst,pink,warmup,2,6,1,,
Kato,13,m,stickfirst,pink,warmup,2,7,0,,
Kato,13,m,stickfirst,pink,warmup,2,8,1,,
Kato,13,m,stickfirst,pink,warmup,3,1,1,,
Kato,13,m,stickfirst,pink,warmup,3,2,1,,
Kato,13,m,stickfirst,pink,warmup,3,3,1,,
Kato,13,m,stickfirst,pink,warmup,3,4,1,,
Kato,13,m,stickfirst,pink,warmup,3,5,0,,
Kato,13,m,stickfirst,pink,warmup,3,6,1,,
Kato,13,m,stickfirst,pink,warmup,3,7,1,,
Kato,13,m,stickfirst,pink,warmup,3,8,1,,
Kato,13,m,stickfirst,pink,warmup,4,1,1,,
Kato,13,m,stickfirst,pink,warmup,4,2,1,,
Kato,13,m,stickfirst,pink,warmup,4,3,1,,
Kato,13,m,stickfirst,pink,warmup,4,4,1,,
Kato,13,m,stickfirst,pink,warmup,4,5,1,,
Kato,13,m,stickfirst,pink,warmup,4,6,0,,
Kato,13,m,stickfirst,pink,warmup,4,7,1,,
Kato,13,m,stickfirst,pink,warmup,4,8,1,,
Kato,13,m,stickfirst,pink,foil,1,1,1,,
Kato,13,m,stickfirst,pink,foil,1,2,1,,
Kato,13,m,stickfirst,pink,foil,1,3,0,,
Kato,13,m,stickfirst,pink,foil,1,4,1,,
Kato,13,m,stickfirst,pink,foil,1,5,1,,
