id,sex,age,order,boxtype,sessiontype,sessionno,trialno,correct,trialtype,phase
Reuben,m,8,foodfirst,blue,pattern-transfer,1,1,0,stick,2
Reuben,m,8,foodfirst,blue,pattern-transfer,1,2,1,stick,2
Reuben,m,8,foodfirst,blue,pattern-transfer,1,3,1,stick,2
Reuben,m,8,foodfirst,blue,pattern-transfer,1,4,0,stick,2
Reuben,m,8,foodfirst,blue,pattern-transfer,1,5,1,stick,2
Reuben,m,8,foodfirst,blue,pattern-transfer,1,6,0,stick,2
Reuben,m,8,foodfirst,blue,pattern-transfer,1,7,0,stick,2
Reuben,m,8,foodfirst,blue,pattern-transfer,1,8,1,stick,2
Reuben,m,8,foodfirst,blue,pattern-transfer,2,9,1,stick,2
Reuben,m,8,foodfirst,blue,pattern-transfer,2,10,0,stick,2
Reuben,m,8,foodfirst,blue,pattern-transfer,2,11,0,stick,2
Reuben,m,8,foodfirst,blue,pattern-transfer,2,12,1,stick,2
Reuben,m,8,foodfirst,blue,pattern-transfer,2,13,1,stick,2
Reuben,m,8,foodfirst,blue,pattern-transfer,2,14,0,stick,2
Reuben,m,8,foodfirst,blue,pattern-transfer,2,15,1,stick,2
Reuben,m,8,foodfirst,blue,pattern-transfer,2,16,0,stick,2
Kato,m,13,stickfirst,pink,pattern-transfer,1,1,1,food,2
Kato,m,13,stickfirst,pink,pattern-transfer,1,2,1,food,2
Kato,m,13,stickfirst,pink,pattern-transfer,1,3,1,food,2
Kato,m,13,stickfirst,pink,pattern-transfer,1,4,1,food,2
Kato,m,13,stickfirst,pink,pattern-transfer,1,5,1,food,2
Kato,m,13,stickfirst,pink,pattern-transfer,1,6,1,food,2
Kato,m,13,stickfirst,pink,pattern-transfer,1,7,1,food,2
Kato,m,13,stickfirst,pink,pattern-transfer,1,8,1,food,2
Kato,m,13,stickfirst,pink,pattern-transfer,2,9,1,food,2
Kato,m,13,stickfirst,pink,pattern-transfer,2,10,1,food,2
Kato,m,13,stickfirst,pink,pattern-transfer,2,11,1,food,2
Kato,m,13,stickfirst,pink,pattern-transfer,2,12,1,food,2
Kato,m,13,stickfirst,pink,pattern-transfer,2,13,0,food,2
Kato,m,13,stickfirst,pink,pattern-transfer,2,14,1,food,2
Kato,m,13,stickfirst,pink,pattern-transfer,2,15,1,food,2
Kato,m,13,stickfirst,pink,pattern-transfer,2,16,1,food,2
Chico,m,9,stickfirst,blue,pattern-transfer,1,1,1,food,2
Chico,m,9,stickfirst,blue,pattern-transfer,1,2,1,food,2
Chico,m,9,stickfirst,blue,pattern-transfer,1,3,1,food,2
Chico,m,9,stickfirst,blue,pattern-transfer,1,4,0,food,2
Chico,m,9,stickfirst,blue,pattern-transfer,1,5,1,food,2
Chico,m,9,stickfirst,blue,pattern-transfer,1,6,1,food,2
Chico,m,9,stickfirst,blue,pattern-transfer,1,7,1,food,2
Chico,m,9,stickfirst,blue,pattern-transfer,1,8,1,food,2
Chico,m,9,stickfirst,blue,pattern-transfer,2,9,1,food,2
Chico,m,9,stickfirst,blue,pattern-transfer,2,10,0,food,2
Chico,m,9,stickfirst,blue,pattern-transfer,2,11,0,food,2
Chico,m,9,stickfirst,blue,pattern-transfer,2,12,1,food,2
Chico,m,9,stickfirst,blue,pattern-transfer,2,13,1,food,2
Chico,m,9,stickfirst,blue,pattern-transfer,2,14,0,food,2
Chico,m,9,stickfirst,blue,pattern-transfer,2,15,1,food,2
Chico,m,9,stickfirst,blue,pattern-transfer,2,16,1,food,2
Carlos,m,12,foodfirst,pink,pattern-transfer,1,1,0,stick,2
Carlos,m,12,foodfirst,pink,pattern-transfer,1,2,1,stick,2
Carlos,m,12,foodfirst,pink,pattern-transfer,1,3,1,stick,2
Carlos,m,12,foodfirst,pink,pattern-transfer,1,4,0,stick,2
Carlos,m,12,foodfirst,pink,pattern-transfer,1,5,0,stick,2
Carlos,m,12,foodfirst,pink,pattern-transfer,1,6,0,stick,2
Carlos,m,12,foodfirst,pink,pattern-transfer,1,7,0,stick,2
Carlos,m,12,foodfirst,pink,pattern-transfer,1,8,1,stick,2
Carlos,m,12,foodfirst,pink,pattern-transfer,2,9,1,stick,2
Carlos,m,12,foodfirst,pink,pattern-transfer,2,10,0,stick,2
Carlos,m,12,foodfirst,pink,pattern-transfer,2,11,0,stick,2
Carlos,m,12,foodfirst,pink,pattern-transfer,2,12,1,stick,2
Carlos,m,12,foodfirst,pink,pattern-transfer,2,13,1,stick,2
Carlos,m,12,foodfirst,pink,pattern-transfer,2,14,0,stick,2
Carlos,m,12,foodfirst,pink,pattern-transfer,2,15,1,stick,2
Carlos,m,12,foodfirst,pink,pattern-transfer,2,16,0,stick,2
Junon,f,18,stickfirst,blue,pattern-transfer,1,1,1,food,2
Junon,f,18,stickfirst,blue,pattern-transfer,1,2,0,food,2
Junon,f,18,stickfirst,blue,pattern-transfer,1,3,0,food,2
Junon,f,18,stickfirst,blue,pattern-transfer,1,4,1,food,2
Junon,f,18,stickfirst,blue,pattern-transfer,1,5,1,food,2
Junon,f,18,stickfirst,blue,pattern-transfer,1,6,1,food,2
